,name,COUNTY,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,"OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE",id,corp_label
0,Bladensburg,Prince George's,1990,8064,3,7,98,90,226,503,251,1178,0.0,198,16.8,0.0,980,83.2,0.0,14608.1,0.0,2455.4,0.0,12152.7,0.0,37.2,86.8,1215.3,1116.1,2802.6,6237.6,3112.6,96.0,Incorporated
1,Bladensburg,Prince George's,1991,8196,1,6,93,83,225,476,250,1134,-3.7,183,16.1,-7.6,951,83.9,-3.0,13836.0,-5.3,2232.8,-9.1,11603.2,-4.5,12.2,73.2,1134.7,1012.7,2745.2,5807.7,3050.3,96.0,Incorporated
2,Bladensburg,Prince George's,1992,8276,2,8,81,63,192,474,209,1029,-9.3,154,15.0,-15.8,875,85.0,-8.0,12433.5,-10.1,1860.8,-16.7,10572.7,-8.9,24.2,96.7,978.7,761.2,2320.0,5727.4,2525.4,96.0,Incorporated
3,Bladensburg,Prince George's,1993,8412,4,3,100,85,175,534,211,1112,8.1,192,17.3,24.7,920,82.7,5.1,13219.2,6.3,2282.5,22.7,10936.7,3.4,47.6,35.7,1188.8,1010.5,2080.4,6348.1,2508.3,96.0,Incorporated
4,Bladensburg,Prince George's,1994,8481,5,3,68,67,170,596,219,1128,1.4,143,12.7,-25.5,985,87.3,7.1,13300.3,0.6,1686.1,-26.1,11614.2,6.2,59.0,35.4,801.8,790.0,2004.5,7027.5,2582.2,96.0,Incorporated
5,Bladensburg,Prince George's,1995,7913,2,2,85,51,192,517,232,1081,-4.2,140,13.0,-2.1,941,87.0,-4.5,13661.1,2.7,1769.2,4.9,11891.9,2.4,25.3,25.3,1074.2,644.5,2426.4,6533.6,2931.9,96.0,Incorporated
6,Bladensburg,Prince George's,1996,7960,4,5,96,55,192,458,201,1011,-6.5,160,15.8,14.3,851,84.2,-9.6,12701.0,-7.0,2010.0,13.6,10691.0,-10.1,50.3,62.8,1206.0,691.0,2412.1,5753.8,2525.1,96.0,Incorporated
7,Bladensburg,Prince George's,1997,7994,1,2,84,51,197,451,201,987,-2.4,138,14.0,-13.8,849,86.0,-0.2,12346.8,-2.8,1726.3,-14.1,10620.5,-0.7,12.5,25.0,1050.8,638.0,2464.4,5641.7,2514.4,96.0,Incorporated
8,Bladensburg,Prince George's,1998,8691,0,4,70,79,189,439,254,1035,4.9,153,14.8,10.9,882,85.2,3.9,11908.9,-3.5,1760.4,2.0,10148.4,-4.4,0.0,46.0,805.4,909.0,2174.7,5051.2,2922.6,96.0,Incorporated
9,Bladensburg,Prince George's,1999,8736,4,3,49,56,143,364,148,767,-25.9,112,14.6,-26.8,655,85.4,-25.7,8779.8,-26.3,1282.1,-27.2,7497.7,-26.1,45.8,34.3,560.9,641.0,1636.9,4166.7,1694.1,96.0,Incorporated
10,Bladensburg,Prince George's,2000,7661,2,2,55,56,113,381,198,807,5.2,115,14.3,2.7,692,85.7,5.6,10533.9,20.0,1501.1,17.1,9032.8,20.5,26.1,26.1,717.9,731.0,1475.0,4973.2,2584.5,96.0,Incorporated
11,Bladensburg,Prince George's,2001,7775,1,4,79,53,118,373,279,907,12.4,137,15.1,19.1,770,84.9,11.3,11665.6,10.7,1762.1,17.4,9903.5,9.6,12.9,51.4,1016.1,681.7,1517.7,4797.4,3588.4,96.0,Incorporated
