,name,COUNTY,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,corp_label
155,Landover,Prince George's,2017,22852,6,28,56,106,166,230,264,856,0.0,196,22.9,0.0,660,77.1,0.0,Unincorporated
156,Landover,Prince George's,2018,22041,2,34,62,106,128,256,210,798,-6.8,204,25.6,4.1,594,74.4,-10.0,Unincorporated
157,Landover,Prince George's,2019,22553,0,34,72,110,50,218,178,662,-17.0,216,32.6,5.9,446,67.4,-24.9,Unincorporated
158,Landover,Prince George's,2020,25998,6,12,44,102,56,150,240,610,-7.9,164,26.9,-24.1,446,73.1,0.0,Unincorporated
159,Landover,Prince George's,2021,24508,14,16,80,114,46,120,224,614,0.7,224,36.5,36.6,390,63.5,-12.6,Unincorporated
160,Landover,Prince George's,2022,24430,8,4,120,136,58,190,234,750,22.1,268,35.7,19.6,482,64.3,23.6,Unincorporated
161,Landover,Prince George's,2023,25149,4,2,50,58,36,78,340,568,-24.3,114,20.1,-57.5,454,79.9,-5.8,Unincorporated
162,Fairwood,Prince George's,2017,5762,0,0,0,2,8,36,14,60,0.0,2,3.3,0.0,58,96.7,0.0,Unincorporated
163,Fairwood,Prince George's,2018,6084,0,0,4,0,6,28,6,44,-26.7,4,9.1,100.0,40,90.9,-31.0,Unincorporated
164,Fairwood,Prince George's,2019,6261,0,2,0,0,2,24,12,40,-9.1,2,5.0,-50.0,38,95.0,-5.0,Unincorporated
165,Fairwood,Prince George's,2020,6780,0,2,0,0,2,14,4,22,-45.0,2,9.1,0.0,20,90.9,-47.4,Unincorporated
166,Fairwood,Prince George's,2021,7453,0,0,2,0,6,18,12,38,72.7,2,5.3,0.0,36,94.7,80.0,Unincorporated
167,Fairwood,Prince George's,2022,7653,0,0,2,0,16,18,6,42,10.5,2,4.8,0.0,40,95.2,11.1,Unincorporated
168,Fairwood,Prince George's,2023,8089,0,4,2,2,6,14,14,42,0.0,8,19.0,300.0,34,81.0,-15.0,Unincorporated
169,Glenn Dale,Prince George's,2017,13606,0,4,10,12,36,64,12,138,0.0,26,18.8,0.0,112,81.2,0.0,Unincorporated
170,Glenn Dale,Prince George's,2018,14191,0,2,6,16,20,72,28,144,4.3,24,16.7,-7.7,120,83.3,7.1,Unincorporated
171,Glenn Dale,Prince George's,2019,13361,0,2,0,4,22,48,28,104,-27.8,6,5.8,-75.0,98,94.2,-18.3,Unincorporated
172,Glenn Dale,Prince George's,2020,13722,2,0,6,6,42,40,28,124,19.2,14,11.3,133.3,110,88.7,12.2,Unincorporated
173,Glenn Dale,Prince George's,2021,15426,2,2,6,16,12,42,24,104,-16.1,26,25.0,85.7,78,75.0,-29.1,Unincorporated
174,Glenn Dale,Prince George's,2022,15244,2,2,24,26,24,58,28,164,57.7,54,32.9,107.7,110,67.1,41.0,Unincorporated
175,Glenn Dale,Prince George's,2023,16005,0,6,10,10,12,20,70,128,-22.0,26,20.3,-51.9,102,79.7,-7.3,Unincorporated
176,Lanham,Prince George's,2017,10511,0,12,21,54,102,99,123,411,0.0,87,21.2,0.0,324,78.8,0.0,Unincorporated
177,Lanham,Prince George's,2018,10301,0,6,36,72,78,156,93,441,7.3,114,25.9,31.0,327,74.1,0.9,Unincorporated
178,Lanham,Prince George's,2019,11120,6,6,24,66,69,156,99,426,-3.4,102,23.9,-10.5,324,76.1,-0.9,Unincorporated
179,Lanham,Prince George's,2020,11054,9,0,33,48,54,117,93,354,-16.9,90,25.4,-11.8,264,74.6,-18.5,Unincorporated
180,Lanham,Prince George's,2021,11460,0,3,21,48,36,84,96,288,-18.6,72,25.0,-20.0,216,75.0,-18.2,Unincorporated
181,Lanham,Prince George's,2022,11662,3,9,36,72,72,144,159,495,71.9,120,24.2,66.7,375,75.8,73.6,Unincorporated
182,Lanham,Prince George's,2023,11966,0,9,42,24,27,33,90,225,-54.5,75,33.3,-37.5,150,66.7,-60.0,Unincorporated
183,Mitchellville,Prince George's,2017,10924,0,4,8,32,64,212,56,376,0.0,44,11.7,0.0,332,88.3,0.0,Unincorporated
184,Mitchellville,Prince George's,2018,11215,0,0,4,28,48,232,64,376,0.0,32,8.5,-27.3,344,91.5,3.6,Unincorporated
